location,model,horizon,target_date,metric,value
US,historical_drift,1,2024-03-02,wis,1150.1284017391304
US,historical_drift,1,2024-03-09,dev,1488324.360960998
US,historical_drift,1,2024-03-09,wis,896.0848591304348
US,historical_drift,1,2024-03-16,dev,618033.3948009998
US,historical_drift,1,2024-03-16,wis,582.5712426086958
US,historical_drift,1,2024-03-23,dev,3782313.1634889967
US,historical_drift,1,2024-03-23,wis,1125.9865413043478
US,historical_drift,1,2024-03-30,dev,1655810.489089001
US,historical_drift,1,2024-03-30,wis,903.4311382608696
US,historical_drift,1,2024-04-06,dev,262219.7814759996
US,historical_drift,1,2024-04-06,wis,684.8357778260869
US,historical_drift,1,2024-04-13,dev,1063488.9375359998
US,historical_drift,1,2024-04-13,wis,723.7889747826088
US,historical_drift,1,2024-04-20,dev,16.394400999999824
US,historical_drift,1,2024-04-20,wis,398.7739643478261
US,historical_drift,2,2023-10-21,dev,435098.54439999984
US,historical_drift,2,2023-10-21,wis,382.8797326086956
US,historical_drift,2,2023-10-28,dev,119795.593225
US,historical_drift,2,2023-10-28,wis,220.95546391304347
US,historical_drift,2,2023-11-04,dev,140665.50291600006
US,historical_drift,2,2023-11-04,wis,223.28481434782609
US,historical_drift,2,2023-11-11,dev,436887.9506249999
US,historical_drift,2,2023-11-11,wis,403.4970743478261
US,historical_drift,2,2023-11-18,dev,520146.748944
US,historical_drift,2,2023-11-18,wis,432.9510673913044
US,historical_drift,2,2023-11-25,dev,1960.629841
US,historical_drift,2,2023-11-25,wis,304.7068347826087
US,historical_drift,2,2023-12-02,dev,85477.877956
US,historical_drift,2,2023-12-02,wis,403.736877826087
US,historical_drift,2,2023-12-09,dev,210641.5278490003
US,historical_drift,2,2023-12-09,wis,873.1495100000001
US,historical_drift,2,2023-12-16,dev,2889758.6050410005
US,historical_drift,2,2023-12-16,wis,1313.4878852173915
US,historical_drift,2,2023-12-23,dev,3081681.942784
US,historical_drift,2,2023-12-23,wis,1317.6039639130431
US,historical_drift,2,2023-12-30,dev,6492767.744281001
US,historical_drift,2,2023-12-30,wis,1714.7320108695649
US,historical_drift,2,2024-01-06,dev,23323654.914848987
US,historical_drift,2,2024-01-06,wis,2847.7149026086954
US,historical_drift,2,2024-01-13,dev,5614909.3764
US,historical_drift,2,2024-01-13,wis,3390.0005169565216
US,historical_drift,2,2024-01-20,dev,26734773.44262399
US,historical_drift,2,2024-01-20,wis,4797.63111
US,historical_drift,2,2024-01-27,dev,51301048.12562498
US,historical_drift,2,2024-01-27,wis,4122.370847826087
US,historical_drift,2,2024-02-03,dev,50472058.88816098
US,historical_drift,2,2024-02-03,wis,4188.909952608695
US,historical_drift,2,2024-02-10,dev,25442511.019249007
