reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-03-29,wk inc flu hosp,0,2025-03-29,01,quantile,0.01,26.098
2025-03-29,wk inc flu hosp,0,2025-03-29,01,quantile,0.025,34.939
2025-03-29,wk inc flu hosp,0,2025-03-29,01,quantile,0.05,39.045
2025-03-29,wk inc flu hosp,0,2025-03-29,01,quantile,0.1,44.636
2025-03-29,wk inc flu hosp,0,2025-03-29,01,quantile,0.15,49.618
2025-03-29,wk inc flu hosp,0,2025-03-29,01,quantile,0.2,53.071
2025-03-29,wk inc flu hosp,0,2025-03-29,01,quantile,0.25,57.789
2025-03-29,wk inc flu hosp,0,2025-03-29,01,quantile,0.3,61.169
2025-03-29,wk inc flu hosp,0,2025-03-29,01,quantile,0.35,64.39
2025-03-29,wk inc flu hosp,0,2025-03-29,01,quantile,0.4,67.264
2025-03-29,wk inc flu hosp,0,2025-03-29,01,quantile,0.45,70.1
2025-03-29,wk inc flu hosp,0,2025-03-29,01,quantile,0.5,73.83
2025-03-29,wk inc flu hosp,0,2025-03-29,01,quantile,0.55,77.284
2025-03-29,wk inc flu hosp,0,2025-03-29,01,quantile,0.6,80.106
2025-03-29,wk inc flu hosp,0,2025-03-29,01,quantile,0.65,83.351
2025-03-29,wk inc flu hosp,0,2025-03-29,01,quantile,0.7,87.277
2025-03-29,wk inc flu hosp,0,2025-03-29,01,quantile,0.75,91.429
2025-03-29,wk inc flu hosp,0,2025-03-29,01,quantile,0.8,96.477
2025-03-29,wk inc flu hosp,0,2025-03-29,01,quantile,0.85,103.721
2025-03-29,wk inc flu hosp,0,2025-03-29,01,quantile,0.9,117.333
2025-03-29,wk inc flu hosp,0,2025-03-29,01,quantile,0.95,143.216
2025-03-29,wk inc flu hosp,0,2025-03-29,01,quantile,0.975,178.325
2025-03-29,wk inc flu hosp,0,2025-03-29,01,quantile,0.99,217.633
2025-03-29,wk inc flu hosp,1,2025-04-05,01,quantile,0.01,10.376
2025-03-29,wk inc flu hosp,1,2025-04-05,01,quantile,0.025,15.484
2025-03-29,wk inc flu hosp,1,2025-04-05,01,quantile,0.05,18.347
2025-03-29,wk inc flu hosp,1,2025-04-05,01,quantile,0.1,22.165
2025-03-29,wk inc flu hosp,1,2025-04-05,01,quantile,0.15,25.813
2025-03-29,wk inc flu hosp,1,2025-04-05,01,quantile,0.2,28.888
2025-03-29,wk inc flu hosp,1,2025-04-05,01,quantile,0.25,31.941
2025-03-29,wk inc flu hosp,1,2025-04-05,01,quantile,0.3,34.689
2025-03-29,wk inc flu hosp,1,2025-04-05,01,quantile,0.35,36.872
2025-03-29,wk inc flu hosp,1,2025-04-05,01,quantile,0.4,38.964
2025-03-29,wk inc flu hosp,1,2025-04-05,01,quantile,0.45,41.51
2025-03-29,wk inc flu hosp,1,2025-04-05,01,quantile,0.5,44.063
2025-03-29,wk inc flu hosp,1,2025-04-05,01,quantile,0.55,46.739
2025-03-29,wk inc flu hosp,1,2025-04-05,01,quantile,0.6,49.972
2025-03-29,wk inc flu hosp,1,2025-04-05,01,quantile,0.65,52.688
2025-03-29,wk inc flu hosp,1,2025-04-05,01,quantile,0.7,54.537
2025-03-29,wk inc flu hosp,1,2025-04-05,01,quantile,0.75,58.538
2025-03-29,wk inc flu hosp,1,2025-04-05,01,quantile,0.8,63.528
2025-03-29,wk inc flu hosp,1,2025-04-05,01,quantile,0.85,69.244
2025-03-29,wk inc flu hosp,1,2025-04-05,01,quantile,0.9,82.802
2025-03-29,wk inc flu hosp,1,2025-04-05,01,quantile,0.95,114.695
2025-03-29,wk inc flu hosp,1,2025-04-05,01,quantile,0.975,149.159
2025-03-29,wk inc flu hosp,1,2025-04-05,01,quantile,0.99,188.86
2025-03-29,wk inc flu hosp,2,2025-04-12,01,quantile,0.01,4.394
2025-03-29,wk inc flu hosp,2,2025-04-12,01,quantile,0.025,6.161
2025-03-29,wk inc flu hosp,2,2025-04-12,01,quantile,0.05,8.024
2025-03-29,wk inc flu hosp,2,2025-04-12,01,quantile,0.1,10.632
2025-03-29,wk inc flu hosp,2,2025-04-12,01,quantile,0.15,12.914
2025-03-29,wk inc flu hosp,2,2025-04-12,01,quantile,0.2,14.93
2025-03-29,wk inc flu hosp,2,2025-04-12,01,quantile,0.25,16.841
2025-03-29,wk inc flu hosp,2,2025-04-12,01,quantile,0.3,18.506
2025-03-29,wk inc flu hosp,2,2025-04-12,01,quantile,0.35,20.406
2025-03-29,wk inc flu hosp,2,2025-04-12,01,quantile,0.4,21.876
2025-03-29,wk inc flu hosp,2,2025-04-12,01,quantile,0.45,23.723
2025-03-29,wk inc flu hosp,2,2025-04-12,01,quantile,0.5,25.134
2025-03-29,wk inc flu hosp,2,2025-04-12,01,quantile,0.55,27.168
2025-03-29,wk inc flu hosp,2,2025-04-12,01,quantile,0.6,29.257
2025-03-29,wk inc flu hosp,2,2025-04-12,01,quantile,0.65,31.69
2025-03-29,wk inc flu hosp,2,2025-04-12,01,quantile,0.7,34.678
2025-03-29,wk inc flu hosp,2,2025-04-12,01,quantile,0.75,37.122
2025-03-29,wk inc flu hosp,2,2025-04-12,01,quantile,0.8,40.346
2025-03-29,wk inc flu hosp,2,2025-04-12,01,quantile,0.85,46.238
2025-03-29,wk inc flu hosp,2,2025-04-12,01,quantile,0.9,55.262
2025-03-29,wk inc flu hosp,2,2025-04-12,01,quantile,0.95,91.837
2025-03-29,wk inc flu hosp,2,2025-04-12,01,quantile,0.975,132.214
2025-03-29,wk inc flu hosp,2,2025-04-12,01,quantile,0.99,164.994
2025-03-29,wk inc flu hosp,3,2025-04-19,01,quantile,0.01,1.487
2025-03-29,wk inc flu hosp,3,2025-04-19,01,quantile,0.025,2.316
2025-03-29,wk inc flu hosp,3,2025-04-19,01,quantile,0.05,3.268
2025-03-29,wk inc flu hosp,3,2025-04-19,01,quantile,0.1,4.897
2025-03-29,wk inc flu hosp,3,2025-04-19,01,quantile,0.15,5.965
2025-03-29,wk inc flu hosp,3,2025-04-19,01,quantile,0.2,7.206
2025-03-29,wk inc flu hosp,3,2025-04-19,01,quantile,0.25,8.543
2025-03-29,wk inc flu hosp,3,2025-04-19,01,quantile,0.3,9.517
2025-03-29,wk inc flu hosp,3,2025-04-19,01,quantile,0.35,10.567
2025-03-29,wk inc flu hosp,3,2025-04-19,01,quantile,0.4,11.692
2025-03-29,wk inc flu hosp,3,2025-04-19,01,quantile,0.45,12.576
2025-03-29,wk inc flu hosp,3,2025-04-19,01,quantile,0.5,13.863
2025-03-29,wk inc flu hosp,3,2025-04-19,01,quantile,0.55,15.29
2025-03-29,wk inc flu hosp,3,2025-04-19,01,quantile,0.6,16.545
2025-03-29,wk inc flu hosp,3,2025-04-19,01,quantile,0.65,18.21
2025-03-29,wk inc flu hosp,3,2025-04-19,01,quantile,0.7,20.437
2025-03-29,wk inc flu hosp,3,2025-04-19,01,quantile,0.75,22.715
2025-03-29,wk inc flu hosp,3,2025-04-19,01,quantile,0.8,25.058
2025-03-29,wk inc flu hosp,3,2025-04-19,01,quantile,0.85,29.053
2025-03-29,wk inc flu hosp,3,2025-04-19,01,quantile,0.9,36.707
